repeat,task,treatment,correct,tokens,latencyMs
1,qa_default_cursor_model,lattice,false,2572,1088
1,qa_default_cursor_model,standard,false,84,2555
1,qa_cli_email_env,lattice,false,2543,1335
1,qa_cli_email_env,standard,false,82,1025
1,qa_cli_default_nest,lattice,true,2540,591
1,qa_cli_default_nest,standard,false,79,1572
1,qa_openrouter_header,lattice,false,2575,580
1,qa_openrouter_header,standard,false,81,788
1,qa_cli_auth_exit_code,lattice,false,2638,3250
1,qa_cli_auth_exit_code,standard,true,77,1506
1,coding_add_top_p_flag,lattice,0,11845,37707
1,coding_add_top_p_flag,standard,0,8761,26767
1,reasoning_arithmetic,lattice,true,372,1238
1,reasoning_arithmetic,standard,true,63,500
1,reasoning_remainder,lattice,true,384,1220
1,reasoning_remainder,standard,true,69,500
1,reasoning_sequence,lattice,true,2056,1648
1,reasoning_sequence,standard,true,86,400
2,qa_default_cursor_model,standard,false,79,440
2,qa_default_cursor_model,lattice,false,2621,2812
2,qa_cli_email_env,standard,false,82,964
2,qa_cli_email_env,lattice,false,2542,688
2,qa_cli_default_nest,standard,false,79,1592
2,qa_cli_default_nest,lattice,true,2540,1088
2,qa_openrouter_header,standard,false,81,628
2,qa_openrouter_header,lattice,true,2577,808
2,qa_cli_auth_exit_code,standard,true,77,408
2,qa_cli_auth_exit_code,lattice,false,2560,312
2,coding_add_top_p_flag,standard,0,8726,32864
2,coding_add_top_p_flag,lattice,0,11795,66036
2,reasoning_arithmetic,standard,true,63,383
2,reasoning_arithmetic,lattice,true,372,1115
2,reasoning_remainder,standard,true,69,860
2,reasoning_remainder,lattice,true,384,1095
2,reasoning_sequence,standard,true,86,1324
2,reasoning_sequence,lattice,true,2056,1228
3,qa_default_cursor_model,lattice,false,2641,3304
3,qa_default_cursor_model,standard,false,84,1668
3,qa_cli_email_env,lattice,false,2542,1228
3,qa_cli_email_env,standard,false,82,1087
3,qa_cli_default_nest,lattice,true,2536,352
3,qa_cli_default_nest,standard,false,81,511
3,qa_openrouter_header,lattice,false,2575,1004
3,qa_openrouter_header,standard,false,81,459
3,qa_cli_auth_exit_code,lattice,true,2560,1063
3,qa_cli_auth_exit_code,standard,true,77,437
3,coding_add_top_p_flag,lattice,0,11726,38999
3,coding_add_top_p_flag,standard,0,8399,16437
3,reasoning_arithmetic,lattice,true,376,496
3,reasoning_arithmetic,standard,true,63,1409
3,reasoning_remainder,lattice,true,388,556
3,reasoning_remainder,standard,true,69,284
3,reasoning_sequence,lattice,true,2056,2572
3,reasoning_sequence,standard,true,86,412
