repeat,task,treatment,correct,correctLenient,tokens,latencyMs
1,qa_default_cursor_model,lattice,false,false,2452,863
1,qa_default_cursor_model,standard,false,false,89,915
1,qa_cli_email_env,lattice,false,false,2428,819
1,qa_cli_email_env,standard,false,false,86,926
1,qa_cli_default_nest,lattice,true,true,2426,701
1,qa_cli_default_nest,standard,false,false,84,972
1,qa_openrouter_header,lattice,true,true,2461,952
1,qa_openrouter_header,standard,false,false,88,652
1,qa_cli_auth_exit_code,lattice,false,false,2451,667
1,qa_cli_auth_exit_code,standard,false,false,82,1460
1,coding_add_top_p_flag,lattice,0,0,12422,11380
1,coding_add_top_p_flag,standard,0,0,9089,24060
1,reasoning_arithmetic,lattice,true,true,370,702
1,reasoning_arithmetic,standard,true,true,70,684
1,reasoning_remainder,lattice,true,true,382,1844
1,reasoning_remainder,standard,true,true,76,835
1,reasoning_sequence,lattice,true,true,1959,781
1,reasoning_sequence,standard,true,true,93,1257
2,qa_default_cursor_model,standard,false,false,89,1072
2,qa_default_cursor_model,lattice,false,false,2452,642
2,qa_cli_email_env,standard,false,false,86,993
2,qa_cli_email_env,lattice,false,false,2428,1259
2,qa_cli_default_nest,standard,false,false,84,772
2,qa_cli_default_nest,lattice,true,true,2426,632
2,qa_openrouter_header,standard,false,false,88,610
2,qa_openrouter_header,lattice,true,true,2461,812
2,qa_cli_auth_exit_code,standard,false,false,82,539
2,qa_cli_auth_exit_code,lattice,false,false,2451,789
2,coding_add_top_p_flag,standard,0,0,8891,21484
2,coding_add_top_p_flag,lattice,0,0,12431,10302
2,reasoning_arithmetic,standard,true,true,70,776
2,reasoning_arithmetic,lattice,true,true,370,648
2,reasoning_remainder,standard,true,true,76,748
2,reasoning_remainder,lattice,true,true,382,1056
2,reasoning_sequence,standard,true,true,93,963
2,reasoning_sequence,lattice,true,true,1959,768
