individual_id,timestamp,lat,lon,source,heading_deg,step_km,speed_kmh,declination_deg,inclination_deg,intensity_nt
gbif-5938069174,2026-01-03T13:58,40.958085,-112.214557,gbif,,0.0,0.0,,,
gbif-5938123418,2026-01-03T14:19,40.958085,-112.214557,gbif,,0.0,0.0,,,
gbif-5938248433,2026-01-03T13:58,40.958085,-112.214557,gbif,,0.0,0.0,,,
gbif-5938267638,2026-01-03T13:58:15,41.038952,-112.231327,gbif,,0.0,0.0,,,
gbif-5938319706,2026-01-03T14:27,40.958085,-112.214557,gbif,,0.0,0.0,,,
gbif-5938325608,2026-01-03T13:59,40.958085,-112.214557,gbif,,0.0,0.0,,,
gbif-5938433330,2026-01-03T14:23,40.958085,-112.214557,gbif,,0.0,0.0,,,
gbif-5938458014,2026-01-03T14:22,40.958085,-112.214557,gbif,,0.0,0.0,,,
gbif-5938458593,2026-01-03T14:10,40.958085,-112.214557,gbif,,0.0,0.0,,,
gbif-5938462462,2026-01-03T10:46:08,44.606367,-110.846914,gbif,,0.0,0.0,,,
gbif-5938656097,2026-01-03T14:22,40.958085,-112.214557,gbif,,0.0,0.0,,,
gbif-5938676231,2026-01-03T14:23,40.958085,-112.214557,gbif,,0.0,0.0,,,
gbif-5938680204,2026-01-03T14:22,40.958085,-112.214557,gbif,,0.0,0.0,,,
gbif-6130025882,2026-01-03T14:27,40.958085,-112.214557,gbif,,0.0,0.0,,,
gbif-6130105685,2026-01-10T13:49:29,44.51132,-110.833992,gbif,,0.0,0.0,,,
gbif-6130203072,2026-01-20T10:32:48,44.57047,-110.816963,gbif,,0.0,0.0,,,
gbif-6130370814,2026-01-18T10:26,41.035919,-112.269948,gbif,,0.0,0.0,,,
gbif-6130384303,2026-01-20T07:49:54,44.47013,-110.841872,gbif,,0.0,0.0,,,
gbif-6130436497,2026-01-15T12:59:02,43.879888,-102.238722,gbif,,0.0,0.0,,,
gbif-6130695011,2026-01-03T14:27,40.958085,-112.214557,gbif,,0.0,0.0,,,
gbif-6130786024,2026-01-20T10:38:09,44.585487,-110.829553,gbif,,0.0,0.0,,,
gbif-6130829882,2026-01-20T13:43:25,43.603054,-103.445118,gbif,,0.0,0.0,,,
gbif-6130831132,2026-01-03T14:27,40.958085,-112.214557,gbif,,0.0,0.0,,,
gbif-6130861729,2026-01-03T14:27,40.958085,-112.214557,gbif,,0.0,0.0,,,
gbif-6130981941,2026-01-18T09:17,41.03074,-112.264455,gbif,,0.0,0.0,,,
gbif-6131109662,2026-01-20T14:51:19,44.703445,-110.585442,gbif,,0.0,0.0,,,
gbif-6131302065,2026-01-20T09:17:59,44.48228,-110.852937,gbif,,0.0,0.0,,,
gbif-6131480108,2026-01-21T11:35,44.877981,-110.1528,gbif,,0.0,0.0,,,
gbif-6131532386,2026-01-05T12:15:39,34.443033,-101.05542,gbif,,0.0,0.0,,,
gbif-6131672531,2026-01-10T13:04:44,39.851925,-104.823425,gbif,,0.0,0.0,,,
gbif-6133156233,2026-01-31T11:36:15,44.947895,-110.475095,gbif,,0.0,0.0,,,
gbif-6133157450,2026-01-29T15:42:22,43.654448,-110.624052,gbif,,0.0,0.0,,,
gbif-6133199755,2026-01-26T14:13:46,41.045319,-112.233198,gbif,,0.0,0.0,,,
gbif-6133514301,2026-01-27T07:58:11,41.023857,-112.167531,gbif,,0.0,0.0,,,
gbif-6133603723,2026-02-01,44.461183,-110.830706,gbif,,0.0,0.0,,,
gbif-6147215035,2026-02-04T18:55:10,45.031984,-110.705527,gbif,,0.0,0.0,,,
gbif-6147238542,2026-02-05T15:48:05,41.016398,-112.204171,gbif,,0.0,0.0,,,
gbif-6147244925,2026-01-31T17:59,44.866262,-110.167539,gbif,,0.0,0.0,,,
gbif-6147303842,2026-01-31T14:17,44.86703,-110.166464,gbif,,0.0,0.0,,,
gbif-6147313968,2026-02-05T16:16,44.964744,-110.599989,gbif,,0.0,0.0,,,
gbif-6147467534,2026-02-03T10:07,44.947584,-110.455542,gbif,,0.0,0.0,,,
gbif-6147473563,2026-02-03T15:20:42,39.834643,-104.854728,gbif,,0.0,0.0,,,
gbif-6147479337,2026-02-08T08:57,41.035401,-112.243169,gbif,,0.0,0.0,,,
gbif-6147516407,2026-02-07T12:15:47,44.456811,-110.832186,gbif,,0.0,0.0,,,
gbif-6147529677,2026-02-04T13:42,43.732518,-103.413333,gbif,,0.0,0.0,,,
gbif-6147549665,2026-02-03T17:28,43.732518,-103.413333,gbif,,0.0,0.0,,,
gbif-6147701660,2026-02-03T13:31,44.975545,-110.449967,gbif,,0.0,0.0,,,
gbif-6147712627,2026-02-04T16:32:42,44.456336,-110.832928,gbif,,0.0,0.0,,,
gbif-6159184490,2026-01-12T15:02,44.549864,-110.806306,gbif,,0.0,0.0,,,
gbif-6159242928,2026-02-14T17:53,40.902827,-112.174647,gbif,,0.0,0.0,,,
gbif-6159261849,2026-02-14T12:16:10,41.028422,-112.203322,gbif,,0.0,0.0,,,
gbif-6159289066,2026-02-16T10:38:21,41.024595,-112.252531,gbif,,0.0,0.0,,,
gbif-6159352408,2026-02-10T17:53:37,34.421445,-101.054821,gbif,,0.0,0.0,,,
gbif-6159401074,2026-02-14T11:46:43,41.0288,-112.203622,gbif,,0.0,0.0,,,
gbif-6159403722,2026-02-15T15:49:59,41.018069,-112.192269,gbif,,0.0,0.0,,,
gbif-6159404047,2026-02-10T15:37:46,41.056092,-112.245847,gbif,,0.0,0.0,,,
gbif-6159409671,2026-02-14T15:29:13,41.023061,-112.19383,gbif,,0.0,0.0,,,
gbif-6159462507,2026-02-14T16:30:34,41.056667,-112.236913,gbif,,0.0,0.0,,,
gbif-6159588048,2026-02-14T16:56,40.951988,-112.195873,gbif,,0.0,0.0,,,
gbif-6159606392,2026-02-14T13:53:05,41.059089,-112.244172,gbif,,0.0,0.0,,,
gbif-6159643059,2026-02-15T15:08:59,41.046114,-112.233875,gbif,,0.0,0.0,,,
gbif-6159653252,2026-01-10T14:20,44.463192,-110.833074,gbif,,0.0,0.0,,,
gbif-6162779547,2026-02-19T09:35:13,34.410031,-101.053471,gbif,,0.0,0.0,,,
gbif-6162787578,2026-02-17T11:13,41.027921,-112.251033,gbif,,0.0,0.0,,,
gbif-6162792916,2026-02-16T17:16:36,40.929736,-112.167007,gbif,,0.0,0.0,,,
gbif-6162797823,2026-02-16T10:52,41.050245,-112.255204,gbif,,0.0,0.0,,,
gbif-6162929918,2026-02-19T09:52:32,34.436991,-101.059862,gbif,,0.0,0.0,,,
gbif-6162969534,2026-02-17T11:58,34.436991,-101.059862,gbif,,0.0,0.0,,,
gbif-6162986559,2026-02-16T13:50:33,41.024809,-112.258142,gbif,,0.0,0.0,,,
gbif-6163022087,2026-02-18T14:28:38,43.640704,-103.368079,gbif,,0.0,0.0,,,
gbif-6163041857,2026-02-22T13:07:20,41.052064,-112.236275,gbif,,0.0,0.0,,,
gbif-6163103807,2026-02-22T09:11:27,41.058613,-112.236664,gbif,,0.0,0.0,,,
gbif-6163103909,2026-02-07T12:09,43.644576,-110.658175,gbif,,0.0,0.0,,,
gbif-6163108758,2026-02-19T09:52:41,34.436991,-101.059862,gbif,,0.0,0.0,,,
